Application ID,Application Name,Vendor,Application Type,Department,Environment,Criticality,Risk Level,Data Classification,Compliance Framework,SOX Applicable,Authentication Method,Provisioning Method,MFA Enabled,SSO Integrated,PAM Managed,Access Review Frequency,Last Access Review,Last Certification Date,User Count,Orphan Accounts,Privileged Accounts,Onboarding Status,Business Owner,IT Owner,IAM Controls
APP-1000,ServiceNow,Cloudflare,PaaS,Finance,Production,Medium,High,Confidential,None,Yes,OAuth 2.0/OIDC,Automated (API),Yes,Yes,Yes,Semi-Annual,2025-12-04,2025-04-23,36791,37,14,In Progress,Lisa Wilson,Pat Harris,RBAC Implemented; Auto-Provisioned
APP-1001,Salesforce,Open Source,IaaS,Legal,Development,Medium,Low,Restricted,FedRAMP,No,OAuth 2.0/OIDC,Automated (API),No,No,Yes,Annual,2025-02-03,2025-09-10,5174,6,12,Onboarded,Rachel Brown,Jordan Anderson,PAM Managed; SSO Enabled; MFA Required
APP-1002,SAP S4 HANA,Cloudflare,On-Premise,Finance,DR,Medium,High,Restricted,None,Yes,Local Auth,Manual,Yes,Yes,Yes,Semi-Annual,2025-06-12,2025-11-23,17701,42,9,Decommissioning,Emma Smith,Taylor Anderson,Access Certified; RBAC Implemented; SSO Enabled; MFA Required
APP-1003,Workday,SAP,SaaS,R&D,Development,High,Low,Internal,SOC 2,Yes,Kerberos,Hybrid,Yes,No,No,Monthly,2025-11-15,2025-09-16,9075,16,5,Not Started,Sarah Williams,Sam Garcia,Access Certified; Just-In-Time Access
APP-1004,Oracle EBS,Okta,Hybrid,R&D,DR,Medium,Low,Restricted,None,No,MFA + SSO,Automated (SCIM),No,Yes,No,Quarterly,2025-11-18,2025-12-24,222,49,21,In Progress,Mike Moore,Jordan Harris,RBAC Implemented; Least Privilege Enforced; MFA Required
APP-1005,Microsoft 365,Cloudflare,On-Premise,Security,Production,Medium,Low,Internal,HIPAA,No,Local Auth,Automated (SCIM),Yes,Yes,Yes,Quarterly,2025-06-27,2025-11-16,8424,15,2,Onboarded,David Moore,Pat Garcia,PAM Managed; Just-In-Time Access; Auto-Provisioned
APP-1006,Okta,SailPoint,SaaS,Marketing,DR,Low,Critical,Internal,HIPAA,Yes,SAML 2.0,Automated (API),Yes,Yes,Yes,Semi-Annual,2025-02-11,2025-01-28,4427,37,18,Onboarded,Tom Brown,Casey Clark,Least Privilege Enforced; MFA Required; Just-In-Time Access
APP-1007,CyberArk,Atlassian,On-Premise,Legal,Staging,Critical,Medium,Internal,HIPAA,No,SAML 2.0,Hybrid,Yes,Yes,No,Annual,2025-07-14,2025-04-18,12566,46,2,Onboarded,Chris Williams,Casey Clark,Least Privilege Enforced; Access Certified
APP-1008,SailPoint,Okta,PaaS,Security,Production,Critical,Low,Internal,HIPAA,Yes,Kerberos,Self-Service,No,No,Yes,Quarterly,2025-02-25,2025-01-13,24846,10,14,Onboarded,David Miller,Jamie Clark,PAM Managed; MFA Required; SSO Enabled
APP-1009,Ping Identity,Custom/Internal,Hybrid,R&D,Production,Medium,Critical,Restricted,FedRAMP,Yes,SAML 2.0,Automated (SCIM),Yes,Yes,Yes,Continuous,2025-08-17,2025-10-08,7866,3,17,In Progress,John Taylor,Jordan Garcia,PAM Managed; MFA Required; Auto-Provisioned; RBAC Implemented
